RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
46818,ARCHIE,M,2010,Yorkshire Terrier,,11201,1/1/18,1/25/20,2018
46854,SEAMUS,M,2006,Beagle,,11201,1/1/18,9/23/18,2018
46885,ROWLF,M,2015,American Pit Bull Mix / Pit Bull Mix,,11201,1/1/18,2/12/19,2018
47114,RORY,F,2017,Goldendoodle,,11201,1/3/18,1/3/19,2018
47148,MURPHY,M,2014,Poodle Crossbreed,,11201,1/3/18,2/9/19,2018
47159,ELLIE,F,2012,Cairn Terrier,,11201,1/3/18,2/15/19,2018
47198,MIMI,F,2016,American Pit Bull Mix / Pit Bull Mix,,11201,1/3/18,1/3/19,2018
47201,MAX,M,2016,Morkie,,11201,1/3/18,2/10/19,2018
47306,HARRIS,M,2016,Wheaton Terrier,,11201,1/3/18,11/23/22,2018
47342,BROOKLYN,F,2013,American Pit Bull Mix / Pit Bull Mix,,11201,1/4/18,1/29/19,2018
47529,IZZIE,F,2017,Great Dane,,11201,1/5/18,1/5/19,2018
47638,OSCAR,M,2017,Poodle Crossbreed,,11201,1/6/18,1/6/23,2018
47652,LUCKY,M,2017,Pembroke Welsh Corgi,,11201,1/7/18,1/7/19,2018
47688,BURT,M,2016,Shih Tzu Crossbreed,,11201,1/7/18,1/7/23,2018
47717,GUS,M,2015,Morkie,,11201,1/7/18,1/30/20,2018
47738,JACK,M,2014,Chihuahua,,11201,1/8/18,1/26/20,2018
47778,CHLOE,F,2010,Shiba Inu,,11201,1/8/18,2/5/19,2018
47868,KILLIAN,M,2017,Cairn Terrier,,11201,1/9/18,1/9/19,2018
47927,HARLOW,F,2016,Beagle Crossbreed,,11201,1/9/18,12/21/18,2018
48073,ROSIE,F,2015,Unknown,,11201,1/10/18,2/23/19,2018
48121,RUSTY,M,2014,Dachshund,,11201,1/10/18,12/14/18,2018
48197,HUDSON,M,2014,Golden Retriever,,11201,1/10/18,1/12/20,2018
48251,LUCILLE,F,2013,Unknown,,11201,1/11/18,1/25/23,2018
48276,LILLY,F,2014,"Poodle, Standard",,11201,1/11/18,1/11/19,2018
48353,LUCY,F,2013,Cairn Terrier,,11201,1/12/18,2/8/19,2018
48385,CLARK,M,2012,Pug,,11201,1/12/18,1/30/19,2018
48427,NASH,M,2011,Australian Cattledog,,11201,1/12/18,2/27/19,2018
48616,ROSIE,F,2010,"Shar-Pei, Chinese",,11201,1/14/18,2/28/20,2018
48629,BUDDY,M,2017,Labrador Retriever,,11201,1/14/18,1/14/19,2018
48654,SEAMUS,M,2007,Golden Retriever,,11201,1/14/18,1/17/19,2018
48764,PACO,M,2010,Shih Tzu,,11201,1/15/18,12/11/18,2018
48814,TILLEY,F,2012,Australian Cattledog,,11201,1/15/18,2/12/20,2018
48839,KATO,F,2014,Dachshund Crossbreed,,11201,1/16/18,1/16/19,2018
48919,FUFU,F,2011,Jack Russell Terrier,,11201,1/16/18,12/26/19,2018
48933,LUNA,F,2015,Cocker Spaniel,,11201,1/16/18,1/16/19,2018
49030,LUNA,F,2017,French Bulldog,,11201,1/17/18,1/17/19,2018
49035,PEMA,F,2011,Lhasa Apso,,11201,1/17/18,2/28/19,2018
49091,ELLA,F,2015,Norwich Terrier,,11201,1/17/18,3/7/19,2018
49188,SHADOW,F,2017,Flat-Coated Retriever,,11201,1/17/18,1/17/23,2018
49220,SUMOTORI,M,2016,French Bulldog,,11201,1/17/18,11/28/20,2018
49222,SADIE,F,2015,Poodle,,11201,1/17/18,2/15/22,2018
49227,MISHMISH,M,2013,Rat Terrier,,11201,1/17/18,3/2/19,2018
49238,NAME NOT PROVIDED,M,2005,Chihuahua,,11201,1/17/18,2/11/19,2018
49464,CARAMELO,M,2017,Labrador Retriever Crossbreed,,11201,1/18/18,1/18/19,2018
49521,OTIS,M,2013,French Bulldog,,11201,1/18/18,1/18/19,2018
49539,MIKA,F,2012,German Shepherd Crossbreed,,11201,1/18/18,3/6/19,2018
49591,SHIH-TZU,M,2017,Shih Tzu,,11201,1/19/18,1/19/19,2018
49610,FRANKIE,M,2015,Miniature Australian Shepherd,,11201,1/19/18,1/19/19,2018
49624,KAYA,F,2012,Border Collie,,11201,1/19/18,3/7/19,2018
49709,LUCY,F,2009,Boston Terrier,,11201,1/19/18,12/27/19,2018
49736,LILLY,F,2015,Greyhound,,11201,1/20/18,1/20/23,2018
49803,LADY,F,2016,Vizsla,,11201,1/20/18,1/29/19,2018
49806,MATTIE,F,2013,Labrador Retriever,,11201,1/20/18,2/26/23,2018
49857,SOFI,F,2008,Chihuahua,,11201,1/21/18,1/21/19,2018
49939,LOKI,M,2017,Jindo,,11201,1/22/18,1/22/19,2018
49980,FILLEBORN,M,2016,Yorkshire Terrier,,11201,1/22/18,2/27/19,2018
50092,MUMU,M,2016,Jack Russell Terrier,,11201,1/22/18,1/22/19,2018
50134,FRANCES,F,2016,Greyhound,,11201,1/22/18,1/22/19,2018
50381,BELVEDERE,M,2011,Border Terrier,,11201,1/23/18,2/27/19,2018
50402,BAGEL,M,2012,Pug,,11201,1/23/18,2/10/19,2018
50455,WHEATON,F,2017,Wheaton Terrier,,11201,1/24/18,1/24/19,2018
50490,LILA,F,2017,Terrier mix,,11201,1/24/18,1/24/19,2018
50499,AJ,M,2007,Cocker Spaniel Crossbreed,,11201,1/24/18,1/24/19,2018
50568,KAIYA,F,2008,Unknown,,11201,1/24/18,3/17/19,2018
50602,NONE,M,2017,Pomeranian,,11201,1/24/18,1/24/19,2018
50621,STEWIE,M,2004,Beagle,,11201,1/25/18,2/28/19,2018
50668,CASEY,M,2010,Unknown,,11201,1/25/18,1/22/19,2018
50734,ROCKY,M,2017,Poodle,,11201,1/25/18,1/25/19,2018
50757,SNOWY,F,2010,Pomeranian,,11201,1/25/18,2/28/19,2018
50766,PIPPA,F,2013,Maltese,,11201,1/25/18,3/20/20,2018
50896,SPOTTY,F,2016,Jack Russell Terrier,,11201,1/26/18,1/26/19,2018
50905,REX,M,2015,Unknown,,11201,1/26/18,1/26/19,2018
50939,STELLA,F,2017,Whippet,,11201,1/27/18,1/27/19,2018
50949,ARLO,M,2014,Chihuahua Crossbreed,,11201,1/27/18,3/19/19,2018
51010,BOWIE,M,2017,Terrier mix,,11201,1/27/18,1/27/19,2018
51114,BASIL,M,2013,Pug,,11201,1/28/18,3/18/19,2018
51115,WALLY,M,2016,Dachshund,,11201,1/28/18,1/28/23,2018
51154,OSCAR,M,2011,Maltese,,11201,1/29/18,1/15/19,2018
51173,MADDY,F,2006,Jack Russell Terrier,,11201,1/29/18,1/29/19,2018
51244,PRINGLE,M,2015,French Bulldog,,11201,1/29/18,1/29/19,2018
51379,O,M,2009,Irish Terrier,,11201,1/29/18,1/1/19,2018
51453,BUFFY,F,2017,Goldendoodle,,11201,1/30/18,1/30/19,2018
51487,ZOE,F,2014,Unknown,,11201,1/30/18,2/4/19,2018
51508,RUBY,F,2004,Unknown,,11201,1/30/18,2/28/19,2018
51542,BULL,M,2015,French Bulldog,,11201,1/30/18,2/5/19,2018
51654,SPIKE,M,2011,Beagle,,11201,1/30/18,2/5/19,2018
